"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","0","Default Suite","CrudProject","Tests.UpdateTest","Tests.UpdateTest","initDriver","initDriver",""
"broken","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","0","Default Suite","CrudProject","Tests.CreateTest","Tests.CreateTest","initDriver","initDriver",""
"broken","Wed Dec 16 11:31:14 EST 2020","Wed Dec 16 11:31:14 EST 2020","0","Default Suite","CrudProject","Tests.ReadTest","Tests.ReadTest","initDriver","initDriver",""
"skipped","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","0","Default Suite","CrudProject","Tests.SignUp","Tests.SignUp","signUp1","SignUp -2",""
"broken","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","1","Default Suite","CrudProject","Tests.HomePageTest","Tests.HomePageTest","initDriver","initDriver",""
"skipped","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","1","Default Suite","CrudProject","Tests.SignUp","Tests.SignUp","signUp2","SignUp -2",""
"passed","Wed Dec 16 11:30:58 EST 2020","Wed Dec 16 11:31:02 EST 2020","3866","Default Suite","CrudProject","ZDiscussion.Screenshot","ZDiscussion.Screenshot","takeSnippet","takeSnippet",""
"broken","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","2","Default Suite","CrudProject","Tests.DeleteTest","Tests.DeleteTest","initDriver","initDriver",""
"broken","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","0","Default Suite","CrudProject","Tests.SignUp","Tests.SignUp","initDriver","initDriver",""
"skipped","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","0","Default Suite","CrudProject","Tests.HomePageTest","Tests.HomePageTest","userCantLogin","User should not be able to log in",""
"skipped","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","0","Default Suite","CrudProject","Tests.HomePageTest","Tests.HomePageTest","userLogIn","User can login with the valid credentials",""
"broken","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:14 EST 2020","12155","Default Suite","CrudProject","ZDiscussion.WaitConcept","ZDiscussion.WaitConcept","testWait","testWait",""
"skipped","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","1","Default Suite","CrudProject","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
"skipped","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","0","Default Suite","CrudProject","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"skipped","Wed Dec 16 11:31:14 EST 2020","Wed Dec 16 11:31:14 EST 2020","0","Default Suite","CrudProject","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"skipped","Wed Dec 16 11:31:02 EST 2020","Wed Dec 16 11:31:02 EST 2020","0","Default Suite","CrudProject","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
